,Name,No.,Links,Sign,Last,Chg%,Volume,Value (k),MCap (M),P/E,P/BV,D/E,DPS,EPS,ROA%,ROE%,NPM%,Yield%,FFloat%,MG%,Magic1,Magic2,PEG,CG,      rsi,Ema20,Ema50,Ema200
126,TMT,656.0,i | 1 | 2 | 3,,9.95,-1.49,710800.0,7095.0,8664.0,10.34,2.40,1.78,0.50,0.96,13.27,26.29,8.27,4.95,21.83,,137.0,173.0,0.25,,,,,
127,TNP,662.0,i | 1 | 2 | 3,,5.15,-1.9,1616000.0,8383.0,4120.0,25.86,4.86,0.31,0.04,0.2,17.97,20.13,7.54,1.33,27.66,,418.0,364.0,0.89,,,,,
128,TOA,665.0,i | 1 | 3,,34.0,1.49,2287300.0,76381.0,68986.0,30.25,5.67,0.45,0.26,1.12,16.41,20.09,14.84,1.58,25.02,,451.0,407.0,4.74,,,,,
130,TPIPP,675.0,i | 1 | 2 | 3,,4.34,0.0,3802000.0,16431.0,36456.0,7.93,1.22,0.51,0.15,0.55,12.17,15.84,38.93,6.22,28.47,,187.0,159.0,0.3,,,,,
131,TPLAS,676.0,i | 1 | 3,,5.0,-2.91,16328300.0,83010.0,1350.0,35.21,4.20,0.2,0.10,0.14,12.59,12.16,7.65,1.94,25.73,,598.0,496.0,1.61,,,,,
132,TPS,679.0,i | 1 | 3,,2.3,0.0,8901400.0,20903.0,773.0,17.15,2.04,0.63,0.04,0.13,9.27,11.69,2.08,1.45,34.6,,434.0,403.0,1.68,,,,,
133,TQR,681.0,i,,15.4,-1.91,544500.0,8410.0,3542.0,45.84,8.56,1.1,0.01,0.34,16.76,16.34,27.61,0.09,25.06,,574.0,487.0,,,,,,
135,TSTH,695.0,i | 1 | 3,,1.68,-1.75,79982800.0,136570.0,14148.0,22.44,1.44,0.24,,0.07,6.13,6.65,2.85,,32.09,,654.0,585.0,0.06,,,,,
136,TTB,697.0,i | 1 | 2 | 3,,1.0,-0.99,322863900.0,322068.0,96409.0,11.04,0.47,,0.05,0.09,1.47,4.3,16.52,4.46,34.2,,535.0,642.0,,,,,,
137,UV,727.0,i | 1 | 3,,3.8,-1.04,3499600.0,13259.0,7265.0,78.02,0.72,0.66,0.02,0.05,0.96,0.96,4.04,0.52,33.7,,1031.0,1059.0,-10.44,,,,,
138,VCOM,731.0,i | 1 | 2 | 3,,5.9,-5.6,1057700.0,6333.0,1811.0,19.79,3.69,2.12,0.10,0.3,11.01,20.33,7.6,3.13,26.5,,350.0,402.0,1.06,,,,,
139,VGI,732.0,i | 1 | 2 | 3,,5.5,-2.65,22897900.0,126387.0,47361.0,48.34,2.85,0.25,0.04,0.11,5.85,6.67,27.95,1.08,24.7,,811.0,759.0,24.66,,,,,
140,VIBHA,733.0,i | 1 | 2 | 3,,2.44,0.0,65205600.0,159769.0,33125.0,67.51,3.75,1.28,0.04,0.04,4.26,6.03,13.9,1.64,33.4,,870.0,894.0,-11.62,,,,,
141,VIH,734.0,i | 1 | 2 | 3,,12.9,-3.73,3461900.0,44662.0,7362.0,36.34,5.04,0.65,0.13,0.35,11.58,14.45,9.77,0.93,29.03,,559.0,526.0,2.27,,,,,
142,VL,735.0,i | 1 | 3,,2.12,-2.75,4118900.0,8794.0,1696.0,28.02,2.02,1.11,0.05,0.08,5.46,7.31,3.95,3.21,32.74,,678.0,681.0,6.21,,,,,
143,VNG,736.0,i | 1 | 2 | 3,,7.45,-3.87,2847900.0,21417.0,12928.0,,2.03,2.02,,0.0,-0.06,-4.5,4.12,,22.19,,,,,,,,,
